iter	RMSE
0	8.839826945
1	8.664032289
2	8.4754711
3	8.305691864
4	8.146759055
5	8.000194865
6	7.823076081
7	7.672272277
8	7.512961199
9	7.350549209
10	7.208052462
11	7.066330162
12	6.920493344
13	6.790569448
14	6.659659487
15	6.513054244
16	6.378789032
17	6.264018977
18	6.146119935
19	6.029232264
20	5.908432434
21	5.811676808
22	5.708128368
23	5.595933118
24	5.50400591
25	5.416621144
26	5.332505613
27	5.242609136
28	5.158927901
29	5.066086973
30	4.979938047
31	4.895594817
32	4.827605914
33	4.749609212
34	4.682378155
35	4.616522204
36	4.554838968
37	4.484665886
38	4.411339243
39	4.333166741
40	4.271348822
41	4.216795739
42	4.157672725
43	4.098395041
44	4.053442364
45	3.998934509
46	3.95225338
47	3.895953856
48	3.854463667
49	3.804699145
50	3.749394398
51	3.706198997
52	3.657767882
53	3.622938531
54	3.574822308
55	3.526097956
56	3.490248323
57	3.452196954
58	3.421491066
59	3.382316351
60	3.344580507
61	3.313527955
62	3.277404255
63	3.245136293
64	3.2031941
65	3.168662396
66	3.136245141
67	3.107922844
68	3.082371072
69	3.052374821
70	3.022490136
71	2.98952055
72	2.96781413
73	2.93588739
74	2.90767412
75	2.883752857
76	2.861296095
77	2.83721095
78	2.816285919
79	2.791548279
80	2.766486898
81	2.747961396
82	2.730823528
83	2.712231904
84	2.688359333
85	2.667542119
86	2.652048187
87	2.629891748
88	2.613989415
89	2.592980106
90	2.570631559
91	2.554336809
92	2.536947603
93	2.519484948
94	2.500097413
95	2.484094504
96	2.472468604
97	2.456850253
98	2.43828252
99	2.427945759
100	2.409588428
101	2.399559731
102	2.385085511
103	2.374289981
104	2.362308177
105	2.349843723
106	2.331841139
107	2.318616538
108	2.305338285
109	2.293474169
110	2.278036451
111	2.264938761
112	2.249588782
113	2.234709228
114	2.224237799
115	2.213024866
116	2.204281414
117	2.191100847
118	2.184980436
119	2.17363806
120	2.163866265
121	2.155130238
122	2.147107004
123	2.135620599
124	2.126294937
125	2.114470526
126	2.105097348
127	2.095066033
128	2.081802455
129	2.07442409
130	2.066152757
131	2.05711697
132	2.047661086
133	2.038771822
134	2.029807056
135	2.020351603
136	2.013557465
137	2.006588163
138	1.997289864
139	1.98850742
140	1.97910226
141	1.971852302
142	1.963870351
143	1.956953785
144	1.949086833
145	1.940558573
146	1.934634795
147	1.926903473
148	1.917410148
149	1.910805508
150	1.903394822
151	1.894679801
152	1.881521284
153	1.872357409
154	1.864356299
155	1.8580683
156	1.850026037
157	1.844209357
158	1.832896828
159	1.826396521
160	1.81893409
161	1.810439444
162	1.805524555
163	1.799628839
164	1.793651107
165	1.785021449
166	1.777816142
167	1.771676293
168	1.762960314
169	1.755138081
170	1.750851811
171	1.739694283
172	1.733736724
173	1.728032857
174	1.721218477
175	1.713297652
176	1.707696237
177	1.699766425
178	1.695542531
179	1.691840429
180	1.685207137
181	1.678011667
182	1.671901366
183	1.667350387
184	1.661685386
185	1.652281878
186	1.647314934
187	1.639151169
188	1.633059174
189	1.627990215
190	1.621789112
191	1.614021616
192	1.607049491
193	1.602556975
194	1.595901994
195	1.588370424
196	1.579415598
197	1.574984345
198	1.569712982
199	1.563044617
200	1.554271937
201	1.547757347
202	1.543655285
203	1.537901041
204	1.530527704
205	1.525986167
206	1.51960185
207	1.515256012
208	1.509463979
209	1.50412153
210	1.498769382
211	1.492666954
212	1.4872434
213	1.483201803
214	1.478263737
215	1.473921585
216	1.47094458
217	1.464374757
218	1.458420864
219	1.452927028
220	1.447164847
221	1.441223074
222	1.436974915
223	1.431128133
224	1.425804429
225	1.419401329
226	1.413715174
227	1.407993159
228	1.40223353
229	1.395160659
230	1.390381838
231	1.385692713
232	1.379854251
233	1.374906781
234	1.369219264
235	1.363220258
236	1.357688529
237	1.355409905
238	1.350383644
239	1.346014072
240	1.341921437
241	1.335764489
242	1.331172209
243	1.326676351
244	1.32209699
245	1.318422476
246	1.3122034
247	1.307964078
248	1.301971192
249	1.297387021
250	1.291211198
251	1.286032865
252	1.280395072
253	1.27441242
254	1.26856888
255	1.263052112
256	1.259757493
257	1.255142928
258	1.250486952
259	1.245101239
260	1.241035446
261	1.23459317
262	1.231015223
263	1.22525168
264	1.221750549
265	1.218192516
266	1.213912702
267	1.210342266
268	1.206574809
269	1.203710514
270	1.199522576
271	1.195097571
272	1.189645419
273	1.185366838
274	1.181375178
275	1.176476201
276	1.172970916
277	1.167221034
278	1.163183324
279	1.157894495
280	1.154005372
281	1.14946217
282	1.144741964
283	1.140907199
284	1.137211699
285	1.133684689
286	1.13008146
287	1.125227332
288	1.119911806
289	1.114675898
290	1.109927383
291	1.1064067
292	1.102270248
293	1.098580483
294	1.093730181
295	1.088334469
296	1.084441032
297	1.079861223
298	1.076308806
299	1.072274374
300	1.068715318
301	1.064475403
302	1.060960018
303	1.056492133
304	1.052012338
305	1.048866461
306	1.045692528
307	1.04191781
308	1.03832718
309	1.033796676
310	1.030395043
311	1.026869669
312	1.022042033
313	1.017779448
314	1.014435528
315	1.010579228
316	1.00719327
317	1.004141699
318	0.9997993791
319	0.9966011857
320	0.9939665009
321	0.9914806155
322	0.9890644433
323	0.985972923
324	0.9824068799
325	0.9794091113
326	0.9744641647
327	0.9707098554
328	0.9684197962
329	0.9660756422
330	0.9624002394
331	0.957797997
332	0.9550696636
333	0.951960891
334	0.9484300258
335	0.9448296821
336	0.9403814691
337	0.9378068618
338	0.9347350149
339	0.9306748913
340	0.9275423146
341	0.9249577409
342	0.9215802431
343	0.9177826158
344	0.9153374256
345	0.9124130114
346	0.9110359034
347	0.9072291573
348	0.9032141562
349	0.8981438581
350	0.8938480792
351	0.8907709206
352	0.8879443135
353	0.8851068464
354	0.88235213
355	0.8809745433
356	0.8788917187
357	0.8766137516
358	0.8729594799
359	0.8701119794
360	0.8671321769
361	0.8642157384
362	0.8609154815
363	0.8573007333
364	0.8546386642
365	0.8513981151
366	0.8483748523
367	0.8456053209
368	0.8420925409
369	0.8400196455
370	0.8381087127
371	0.8352224237
372	0.8327513567
373	0.8295293457
374	0.8267789719
375	0.8238408904
376	0.8202053251
377	0.8153383568
378	0.8128356674
379	0.8124639463
380	0.8095498418
381	0.8073461499
382	0.8041449763
383	0.8024166205
384	0.8006370728
385	0.7976925801
386	0.7955155067
387	0.7920057562
388	0.7896373152
389	0.7873281082
390	0.7843994802
391	0.78246465
392	0.7808969684
393	0.7781624203
394	0.775203213
395	0.7742120397
396	0.7719663904
397	0.7691818047
398	0.7654893869
399	0.7643941841
400	0.7633135277
401	0.7612810062
402	0.7594000049
403	0.7573513787
404	0.7542822705
405	0.7510322618
406	0.7488713746
407	0.7454374368
408	0.7436708903
409	0.7401489127
410	0.7380985299
411	0.7361744456
412	0.734212525
413	0.7306581798
414	0.7288734259
415	0.7260847024
416	0.7239771284
417	0.7218393469
418	0.7195845502
419	0.7183010407
420	0.7160904043
421	0.714571193
422	0.7119089678
423	0.7098858061
424	0.7082706479
425	0.7071037557
426	0.7050914455
427	0.7034076259
428	0.7021758347
429	0.7001188013
430	0.6986214127
431	0.6966931947
432	0.6955899107
433	0.6930884413
434	0.6913401086
435	0.6898724615
436	0.6876272159
437	0.6852028105
438	0.6832754272
439	0.6811468155
440	0.6778713168
441	0.6758379009
442	0.6731954227
443	0.6706674376
444	0.6695505553
445	0.6681117747
446	0.6665005046
447	0.6646242275
448	0.662350152
449	0.6616310294
450	0.660377481
451	0.6579149735
452	0.6572506619
453	0.6554725645
454	0.6533014592
455	0.6515178564
456	0.6504324387
457	0.6482888251
458	0.6466065218
459	0.6441756924
460	0.6425447957
461	0.6405680351
462	0.6379824246
463	0.6365679406
464	0.6356887468
465	0.6329385554
466	0.631251099
467	0.6295458339
468	0.6280241689
469	0.6267975204
470	0.6248616583
471	0.6230232355
472	0.6217613336
473	0.6208965904
474	0.6194834015
475	0.6181954738
476	0.615332497
477	0.6134656522
478	0.6106152977
479	0.6081215536
480	0.6066756726
481	0.6053154915
482	0.6036089093
483	0.6021680226
484	0.6006077649
485	0.5988368297
486	0.5966861011
487	0.5949375404
488	0.5922925776
489	0.590468004
490	0.5894110058
491	0.5874713814
492	0.5867807573
493	0.5861279827
494	0.5835711939
495	0.581391319
496	0.5797493334
497	0.5784588574
498	0.5770646365
499	0.5747001426
500	0.5731199667
501	0.5708494382
502	0.5690462547
503	0.5673257019
504	0.5654983887
505	0.5645906009
506	0.5637563819
507	0.5624049859
508	0.5609393854
509	0.5584214329
510	0.5568634426
511	0.554716198
512	0.5535175006
513	0.5521389981
514	0.5509955404
515	0.5501719168
516	0.5484388131
517	0.5464147901
518	0.5443086321
519	0.5430752946
520	0.5416502519
521	0.5402704726
522	0.5396204931
523	0.538196088
524	0.5368324946
525	0.5354415799
526	0.5340707512
527	0.5336205414
528	0.5318984805
529	0.5306276666
530	0.5284517885
531	0.5273005158
532	0.5259327875
533	0.5236223455
534	0.5224562646
535	0.520811765
536	0.5192569711
537	0.5183525143
538	0.5168824661
539	0.5152737613
540	0.5139665866
541	0.5127610072
542	0.510321499
543	0.5087709446
544	0.5074409472
545	0.5060992091
546	0.5038894776
547	0.5029350907
548	0.5016345998
549	0.5006330786
550	0.4988828894
551	0.4979849996
552	0.4955065449
553	0.4945696151
554	0.493009631
555	0.4919358268
556	0.4908859775
557	0.4898350857
558	0.4889791319
559	0.4880291661
560	0.4864488832
561	0.4852037977
562	0.4841487075
563	0.4817461014
564	0.4800295471
565	0.477967516
566	0.4763189955
567	0.4753266969
568	0.473433145
569	0.4722492597
570	0.4705671037
571	0.4694233319
572	0.4679145442
573	0.4671071792
574	0.4661245759
575	0.4643562065
576	0.4631001186
577	0.4620268359
578	0.460687064
579	0.4591817689
580	0.4576970586
581	0.4564390676
582	0.4549324084
583	0.4536471537
584	0.4520099491
585	0.4504943583
586	0.4493130305
587	0.448359481
588	0.446772608
589	0.4461497927
590	0.4454266957
591	0.4434546544
592	0.4412764056
593	0.4403448663
594	0.4390677409
595	0.4383583638
596	0.4367964583
597	0.4360503781
598	0.4348763271
599	0.4342339324
600	0.4322919356
601	0.4308198926
602	0.4299518685
603	0.4288510538
604	0.4279973309
605	0.4268750882
606	0.4259496037
607	0.4247726812
608	0.4239413571
609	0.4229993069
610	0.4222111769
611	0.4213448895
612	0.4200037666
613	0.4186016457
614	0.4174233065
615	0.4164774047
616	0.4158729928
617	0.4150577092
618	0.4140423034
619	0.4125601252
620	0.4115050527
621	0.4102656403
622	0.4091243229
623	0.4081331076
624	0.4070375336
625	0.4061078185
626	0.4051386884
627	0.4042888546
628	0.4029131081
629	0.4021840422
630	0.4011733753
631	0.4002490271
632	0.3989957465
633	0.3984004072
634	0.3969648049
635	0.396151067
636	0.3955547227
637	0.3947740207
638	0.3936686466
639	0.3932888648
640	0.392385585
641	0.39123424
642	0.3903452959
643	0.3889879116
644	0.3877561372
645	0.3868199106
646	0.3855203662
647	0.3850506064
648	0.3840836322
649	0.3834786778
650	0.3826015914
651	0.3814900759
652	0.380804811
653	0.3796085311
654	0.3786978967
655	0.3779518192
656	0.3760738072
657	0.3750972485
658	0.3742480079
659	0.3728730894
660	0.3717512114
661	0.3705110552
662	0.3700026124
663	0.3692053777
664	0.3681440559
665	0.3671165757
666	0.3657148489
667	0.3645041253
668	0.363048726
669	0.3623716401
670	0.3612297945
671	0.3601239436
672	0.35903079
673	0.3581357764
674	0.3575445424
675	0.3565955955
676	0.3556521872
677	0.3548011999
678	0.3530888195
679	0.3517044845
680	0.3510992362
681	0.3506149519
682	0.3496587759
683	0.3493389308
684	0.3480363384
685	0.3469118703
686	0.345982024
687	0.3447607173
688	0.3442348202
689	0.3433742233
690	0.3427119632
691	0.3420455874
692	0.3413061654
693	0.3402018792
694	0.3394283406
695	0.3387983557
696	0.3379286699
697	0.337372348
698	0.3368762185
699	0.3358296291
700	0.3350798529
701	0.3345220287
702	0.3335923508
703	0.33293786
704	0.3321383634
705	0.3314398434
706	0.3310495069
707	0.3300072933
708	0.329216644
709	0.3282788891
710	0.3274867506
711	0.3267222322
712	0.3261708237
713	0.3256583049
714	0.3245295611
715	0.3235664715
716	0.3230450956
717	0.3220929031
718	0.32158135
719	0.3207501455
720	0.320311608
721	0.3193849062
722	0.318535313
723	0.317972658
724	0.3173018762
725	0.3165996863
726	0.3158263862
727	0.3146694997
728	0.3141480666
729	0.3131435453
730	0.3125925932
731	0.3122598
732	0.3114177018
733	0.3103749506
734	0.3084943431
735	0.3077048942
736	0.3065762297
737	0.3057734758
738	0.3049246191
739	0.3041646134
740	0.3035281962
741	0.3026711348
742	0.3019650644
743	0.3013073472
744	0.3004272906
745	0.299846978
746	0.2992815228
747	0.2986033542
748	0.2973473044
749	0.2962810699
750	0.2956631123
751	0.2944438362
752	0.2940202644
753	0.2933072504
754	0.292889161
755	0.2924058722
756	0.2918193815
757	0.2911275116
758	0.2903396547
759	0.2893738332
760	0.2886767264
761	0.2878150629
762	0.2873075428
763	0.2865476659
764	0.2859271342
765	0.2850725876
766	0.2843559905
767	0.2836429033
768	0.2828355281
769	0.2824172724
770	0.2819534383
771	0.2815576046
772	0.2809799431
773	0.2804569125
774	0.2795979955
775	0.2792248427
776	0.2784604168
777	0.2776534183
778	0.276993811
779	0.2766394756
780	0.2749446713
781	0.2744145335
782	0.2739586698
783	0.2732497557
784	0.2723462368
785	0.2718056118
786	0.2713352306
787	0.270698778
788	0.2698985121
789	0.2695746103
790	0.2688674901
791	0.2682438403
792	0.2677581354
793	0.2669864436
794	0.2663754361
795	0.2655394503
796	0.2652799296
797	0.2639927253
798	0.2631344113
799	0.2628091616
800	0.2624493194
801	0.2613127001
802	0.2606810283
803	0.2598520452
804	0.2591656889
805	0.2584364078
806	0.2581275216
807	0.2572162774
808	0.256392031
809	0.2557966217
810	0.2552044845
811	0.2547352322
812	0.2543843404
813	0.2541069206
814	0.2534475597
815	0.2529886457
816	0.2525598788
817	0.2519259435
818	0.2509314594
819	0.2501377945
820	0.249728181
821	0.2487641499
822	0.2481400771
823	0.2473675388
824	0.2466716821
825	0.2459419357
826	0.2456078479
827	0.2446987614
828	0.244224276
829	0.2437619906
830	0.2432780304
831	0.2425995143
832	0.2420703939
833	0.2417289589
834	0.2411837261
835	0.2408189997
836	0.2403280217
837	0.239755075
838	0.2390345455
839	0.2383572832
840	0.2377130058
841	0.2373993689
842	0.2364460982
843	0.235945771
844	0.2357530919
845	0.235292383
846	0.2348104028
847	0.2339921304
848	0.2337125361
849	0.2332821615
850	0.2328944421
851	0.2323444039
852	0.2318652538
853	0.2315828842
854	0.2307148993
855	0.2302982663
856	0.2298774872
857	0.2292160267
858	0.2284342412
859	0.2280132615
860	0.2276260138
861	0.2272492743
862	0.2267791193
863	0.2261846213
864	0.2259969635
865	0.2257444838
866	0.225343724
867	0.224938778
868	0.2241472372
869	0.2238422149
870	0.2234463853
871	0.2227634994
872	0.2223145206
873	0.2219396019
874	0.2215564102
875	0.220906511
876	0.2202967514
877	0.2200130452
878	0.2193203177
879	0.2188092926
880	0.2180221337
881	0.2177954352
882	0.2169901783
883	0.2164680832
884	0.2158366403
885	0.2155925889
886	0.2151101226
887	0.2147951566
888	0.2143803718
889	0.2137790086
890	0.2130131356
891	0.2126538196
892	0.2121088729
893	0.2118961099
894	0.2115177581
895	0.2107855133
896	0.2099934516
897	0.2092171501
898	0.208541579
899	0.2082242135
900	0.20772344
901	0.2069215004
902	0.2063665869
903	0.2059892724
904	0.2055740495
905	0.2051381701
906	0.2048001734
907	0.2042669936
908	0.2039231484
909	0.203551744
910	0.2032408811
911	0.2023456585
912	0.2018712154
913	0.2014182533
914	0.201136024
915	0.2008662179
916	0.2005856252
917	0.1999318238
918	0.1996620588
919	0.1992678685
920	0.1987894324
921	0.1983111404
922	0.1979063918
923	0.1977732786
924	0.1972541134
925	0.197027013
926	0.1968057308
927	0.1964479336
928	0.1960391634
929	0.1952204055
930	0.1948581314
931	0.1944320437
932	0.1937866583
933	0.1932934901
934	0.1930436058
935	0.1926907207
936	0.1922000591
937	0.1918249478
938	0.1910881411
939	0.1905797047
940	0.1900930117
941	0.1898420213
942	0.1894758174
943	0.1892449666
944	0.1889238082
945	0.1885069783
946	0.1880295797
947	0.1877140322
948	0.187044696
949	0.1865171048
950	0.1860148325
951	0.1856379123
952	0.1854260948
953	0.1851634286
954	0.1848691352
955	0.1847148907
956	0.184037819
957	0.1838400504
958	0.1835614241
959	0.1832557994
960	0.1828705326
961	0.1820829534
962	0.1815728264
963	0.1813205082
964	0.1809548186
965	0.1805743655
966	0.1804008651
967	0.1798701645
968	0.1794176482
969	0.1788142553
970	0.178485886
971	0.1781423618
972	0.1777767145
973	0.177512321
974	0.1772701069
975	0.1769912994
976	0.1765688895
977	0.1761362664
978	0.1758228108
979	0.1755783286
980	0.1751824748
981	0.1745946914
982	0.1740590696
983	0.1736981927
984	0.1733910943
985	0.1729904878
986	0.1725952183
987	0.1721890161
988	0.1718039573
989	0.1715100746
990	0.1708683811
991	0.1706497343
992	0.1704897516
993	0.1697627419
994	0.1695622129
995	0.1693872083
996	0.169100932
997	0.1686020556
998	0.1683173983
999	0.1679522008
