iter	Passed	Remaining
0	0	450
1	0	392
2	1	362
3	1	347
4	1	347
5	2	346
6	2	347
7	2	348
8	3	346
9	3	342
10	3	345
11	4	343
12	4	336
13	4	335
14	5	339
15	5	343
16	5	343
17	6	341
18	6	338
19	6	340
20	7	336
21	7	330
22	7	330
23	8	329
24	8	329
25	9	354
26	9	354
27	10	351
28	10	349
29	10	349
30	11	348
31	11	351
32	11	349
33	12	348
34	12	346
35	12	344
36	13	343
37	13	341
38	13	340
39	14	340
40	14	339
41	14	338
42	15	337
43	15	337
44	15	335
45	16	335
46	16	334
47	16	333
48	17	331
49	17	330
50	17	329
51	18	331
52	18	332
53	18	330
54	19	332
55	19	332
56	20	331
57	20	331
58	20	330
59	21	329
60	21	330
61	21	328
62	22	328
63	22	327
64	22	327
65	23	326
66	23	325
67	23	325
68	24	324
69	24	322
70	24	323
71	25	322
72	25	321
73	25	320
74	25	319
75	26	318
76	26	318
77	26	318
78	27	318
79	27	318
80	28	318
81	28	318
82	28	318
83	29	318
84	29	317
85	29	316
86	30	316
87	30	316
88	30	315
89	31	315
90	31	314
91	31	314
92	32	314
93	32	314
94	32	314
95	33	313
96	33	312
97	33	312
98	34	311
99	34	311
100	34	310
101	35	310
102	35	309
103	35	308
104	36	308
105	36	307
106	36	307
107	37	307
108	37	306
109	37	306
110	38	306
111	38	306
112	38	305
113	39	304
114	39	304
115	40	305
116	40	304
117	40	304
118	40	303
119	41	302
120	41	302
121	41	301
122	42	301
123	42	300
124	42	300
125	43	300
126	43	299
127	44	299
128	44	299
129	44	298
130	45	299
131	45	298
132	45	298
133	46	298
134	46	297
135	46	297
136	47	296
137	47	296
138	47	295
139	48	295
140	48	294
141	48	294
142	49	294
143	49	294
144	49	294
145	50	293
146	50	293
147	50	293
148	51	293
149	51	292
150	52	292
151	52	292
152	52	291
153	53	291
154	53	290
155	53	290
156	53	289
157	54	289
158	54	289
159	55	288
160	55	288
161	55	288
162	56	287
163	56	286
164	56	286
165	56	285
166	57	285
167	57	285
168	57	284
169	58	284
170	58	283
171	58	283
172	59	283
173	59	282
174	59	282
175	60	282
176	60	281
177	60	281
178	61	280
179	61	280
180	61	280
181	62	280
182	62	279
183	62	279
184	63	278
185	63	278
186	63	278
187	64	277
188	64	277
189	65	277
190	65	277
191	65	277
192	66	277
193	66	276
194	66	276
195	67	275
196	67	275
197	67	274
198	68	274
199	68	274
200	68	274
201	69	273
202	69	273
203	69	273
204	70	272
205	70	272
206	71	272
207	71	271
208	71	271
209	72	270
210	72	270
211	72	270
212	73	270
213	73	269
214	73	269
215	74	269
216	74	268
217	74	268
218	75	267
219	75	267
220	76	269
221	76	269
222	77	269
223	77	268
224	77	268
225	78	268
226	78	267
227	78	267
228	79	266
229	79	266
230	79	265
231	80	265
232	80	264
233	80	264
234	81	266
235	82	265
236	82	265
237	82	265
238	83	264
239	83	264
240	83	263
241	84	263
242	84	262
243	84	262
244	85	264
245	86	264
246	86	263
247	86	263
248	87	262
249	87	262
250	88	264
251	88	263
252	89	262
253	89	262
254	89	262
255	90	261
256	90	261
257	90	261
258	91	260
259	91	260
260	91	259
261	92	259
262	92	258
263	92	258
264	93	258
265	93	257
266	93	257
267	94	256
268	94	256
269	94	256
270	95	255
271	95	255
272	95	254
273	96	254
274	96	254
275	96	253
276	97	253
277	97	252
278	97	252
279	97	251
280	98	251
281	98	250
282	98	250
283	99	250
284	99	249
285	99	249
286	100	248
287	100	248
288	100	247
289	101	247
290	102	248
291	102	248
292	102	247
293	103	247
294	103	247
295	103	246
296	104	246
297	104	246
298	104	245
299	105	245
300	105	244
301	105	244
302	106	244
303	106	243
304	106	243
305	107	242
306	107	242
307	107	242
308	108	241
309	108	241
310	109	242
311	109	241
312	109	241
313	110	241
314	110	240
315	110	240
316	111	239
317	111	239
318	111	239
319	112	238
320	112	238
321	112	237
322	113	237
323	113	237
324	113	236
325	114	236
326	114	235
327	114	235
328	115	235
329	115	234
330	116	234
331	116	234
332	116	233
333	117	233
334	117	232
335	117	232
336	118	232
337	118	232
338	118	231
339	119	231
340	119	230
341	119	230
342	120	230
343	120	229
344	120	229
345	121	229
346	121	229
347	122	228
348	122	228
349	122	227
350	123	227
351	123	227
352	123	226
353	124	226
354	124	226
355	124	225
356	125	225
357	125	224
358	125	224
359	126	224
360	126	223
361	126	223
362	127	223
363	127	222
364	127	222
365	128	222
366	128	221
367	128	221
368	129	220
369	129	220
370	130	220
371	130	220
372	131	220
373	131	220
374	132	221
375	133	221
376	133	220
377	133	220
378	134	219
379	134	219
380	134	218
381	134	218
382	135	217
383	135	217
384	135	216
385	136	216
386	136	216
387	136	215
388	137	215
389	137	215
390	137	214
391	138	214
392	138	213
393	138	213
394	139	213
395	139	212
396	139	212
397	140	212
398	140	211
399	141	211
400	141	211
401	141	210
402	141	210
403	142	209
404	142	209
405	143	209
406	143	208
407	143	208
408	144	208
409	144	207
410	144	207
411	145	207
412	145	206
413	145	206
414	146	206
415	146	205
416	146	205
417	147	205
418	147	204
419	147	204
420	148	203
421	148	203
422	148	203
423	149	202
424	149	202
425	149	202
426	150	201
427	150	201
428	151	201
429	151	200
430	151	200
431	152	199
432	152	199
433	152	199
434	153	198
435	153	198
436	153	198
437	154	197
438	154	197
439	154	197
440	155	196
441	155	196
442	155	195
443	156	195
444	156	195
445	156	194
446	157	194
447	157	194
448	158	194
449	158	193
450	158	193
451	159	193
452	159	192
453	159	192
454	160	191
455	160	191
456	160	191
457	161	190
458	161	190
459	161	189
460	162	189
461	162	189
462	162	188
463	163	188
464	163	187
465	163	187
466	164	187
467	164	186
468	164	186
469	165	186
470	165	185
471	165	185
472	166	185
473	166	184
474	166	184
475	167	184
476	167	183
477	167	183
478	168	182
479	168	182
480	168	182
481	169	181
482	169	181
483	169	181
484	170	180
485	170	180
486	170	179
487	171	179
488	171	179
489	171	179
490	172	178
491	172	178
492	173	178
493	173	177
494	174	178
495	175	178
496	175	178
497	176	178
498	177	177
499	177	177
500	178	177
501	178	177
502	178	176
503	179	176
504	179	176
505	180	175
506	180	175
507	180	175
508	181	174
509	181	174
510	181	173
511	182	173
512	182	173
513	182	172
514	183	172
515	183	172
516	183	171
517	184	171
518	184	171
519	184	170
520	185	170
521	185	169
522	185	169
523	186	168
524	186	168
525	186	168
526	187	167
527	187	167
528	187	167
529	188	166
530	188	166
531	188	165
532	189	165
533	189	165
534	189	164
535	190	164
536	190	164
537	190	163
538	191	163
539	191	163
540	191	162
541	192	162
542	192	161
543	192	161
544	193	161
545	193	160
546	193	160
547	194	160
548	194	159
549	194	159
550	195	158
551	195	158
552	195	158
553	196	157
554	196	157
555	196	157
556	197	156
557	197	156
558	197	156
559	198	155
560	198	155
561	198	154
562	199	154
563	199	154
564	199	153
565	200	153
566	200	153
567	200	152
568	201	152
569	201	152
570	201	151
571	202	151
572	202	151
573	202	150
574	203	150
575	203	149
576	203	149
577	204	149
578	204	148
579	204	148
580	205	148
581	205	147
582	205	147
583	206	146
584	206	146
585	206	146
586	207	145
587	207	145
588	207	145
589	208	144
590	208	144
591	208	143
592	209	143
593	209	143
594	209	142
595	210	142
596	210	142
597	210	141
598	211	141
599	211	140
600	211	140
601	211	140
602	212	139
603	212	139
604	212	139
605	213	138
606	213	138
607	213	137
608	214	137
609	214	137
610	214	136
611	215	136
612	215	136
613	216	135
614	216	135
615	216	135
616	217	134
617	217	134
618	217	134
619	218	133
620	218	133
621	218	132
622	219	132
623	219	132
624	219	131
625	220	131
626	220	131
627	220	130
628	221	130
629	221	130
630	221	129
631	222	129
632	222	128
633	222	128
634	223	128
635	223	127
636	223	127
637	224	127
638	224	126
639	224	126
640	225	126
641	225	125
642	225	125
643	226	124
644	226	124
645	226	124
646	227	123
647	227	123
648	227	123
649	228	122
650	228	122
651	228	122
652	228	121
653	229	121
654	229	120
655	230	120
656	230	120
657	230	119
658	231	119
659	231	119
660	231	118
661	231	118
662	232	118
663	232	117
664	232	117
665	233	117
666	233	116
667	234	116
668	234	115
669	234	115
670	235	115
671	235	114
672	235	114
673	236	114
674	236	113
675	236	113
676	237	113
677	237	112
678	237	112
679	238	112
680	238	111
681	238	111
682	239	111
683	239	110
684	239	110
685	239	109
686	240	109
687	240	109
688	240	108
689	241	108
690	241	108
691	241	107
692	242	107
693	242	107
694	243	106
695	243	106
696	243	105
697	244	105
698	244	105
699	244	104
700	245	104
701	245	104
702	245	103
703	246	103
704	246	103
705	246	102
706	247	102
707	247	102
708	247	101
709	248	101
710	248	100
711	248	100
712	248	100
713	249	99
714	249	99
715	249	99
716	250	98
717	250	98
718	250	98
719	251	97
720	251	97
721	251	96
722	252	96
723	252	96
724	253	95
725	253	95
726	253	95
727	253	94
728	254	94
729	254	94
730	255	93
731	255	93
732	255	93
733	256	92
734	256	92
735	256	92
736	257	91
737	257	91
738	257	91
739	258	90
740	258	90
741	258	90
742	259	89
743	259	89
744	259	88
745	260	88
746	260	88
747	260	87
748	261	87
749	261	87
750	262	86
751	262	86
752	262	86
753	263	85
754	263	85
755	263	85
756	263	84
757	264	84
758	264	84
759	264	83
760	265	83
761	265	82
762	265	82
763	266	82
764	266	81
765	266	81
766	267	81
767	267	80
768	268	80
769	268	80
770	268	79
771	269	79
772	269	79
773	269	78
774	270	78
775	270	78
776	271	77
777	271	77
778	271	77
779	272	76
780	272	76
781	272	76
782	273	75
783	273	75
784	273	75
785	274	74
786	274	74
787	274	73
788	275	73
789	275	73
790	276	72
791	276	72
792	276	72
793	277	71
794	277	71
795	277	71
796	278	70
797	278	70
798	278	70
799	279	69
800	279	69
801	279	69
802	280	68
803	280	68
804	280	67
805	281	67
806	281	67
807	281	66
808	282	66
809	282	66
810	282	65
811	283	65
812	283	65
813	283	64
814	284	64
815	284	64
816	284	63
817	285	63
818	285	63
819	285	62
820	286	62
821	286	62
822	286	61
823	287	61
824	287	61
825	287	60
826	288	60
827	288	59
828	288	59
829	289	59
830	289	58
831	289	58
832	290	58
833	290	57
834	290	57
835	291	57
836	291	56
837	291	56
838	291	55
839	292	55
840	292	55
841	292	54
842	293	54
843	293	54
844	293	53
845	294	53
846	294	53
847	294	52
848	295	52
849	295	52
850	295	51
851	296	51
852	296	51
853	296	50
854	297	50
855	297	50
856	297	49
857	298	49
858	298	49
859	299	48
860	299	48
861	299	48
862	300	47
863	300	47
864	300	46
865	301	46
866	301	46
867	301	45
868	302	45
869	302	45
870	302	44
871	303	44
872	303	44
873	303	43
874	304	43
875	304	43
876	304	42
877	305	42
878	305	42
879	305	41
880	306	41
881	306	41
882	306	40
883	307	40
884	307	39
885	308	39
886	308	39
887	308	38
888	309	38
889	310	38
890	310	37
891	310	37
892	311	37
893	311	36
894	311	36
895	312	36
896	312	35
897	312	35
898	313	35
899	313	34
900	313	34
901	314	34
902	314	33
903	314	33
904	315	33
905	315	32
906	315	32
907	316	32
908	316	31
909	316	31
910	317	31
911	318	30
912	318	30
913	318	29
914	319	29
915	319	29
916	319	28
917	320	28
918	320	28
919	320	27
920	321	27
921	321	27
922	321	26
923	322	26
924	322	26
